PD_CD,KY_CD,LAW_CODE,LAW_CAT_CD,ARREST_BORO,ARREST_PRECINCT,JURISDICTION_CODE,PERP_SEX,PERP_RACE,DIA,MES
779,126,215510,3,2,67,0,1,2,3,9
503,117,2201601,3,3,14,0,0,2,13,9
478,343,1651503,2,4,113,0,0,2,4,9
503,117,2201601,3,0,46,0,0,2,23,9
339,341,1552500,2,2,63,0,0,4,16,9
157,104,1303501,3,4,100,0,0,2,3,9
478,343,1651503,2,0,46,1,0,5,10,9
397,105,1601002,3,4,102,0,0,2,12,9
441,110,1553008,3,2,70,0,0,3,1,9
904,119,119202,3,4,100,0,0,5,7,9
490,232,1654000,2,4,114,0,0,2,4,9
505,117,2200901,3,4,105,0,0,2,9,9
101,344,1200001,2,4,106,0,1,5,14,9
177,116,1306501,3,0,41,0,0,5,5,9
101,344,1200001,2,2,63,0,0,4,5,9
922,348,51104,2,0,46,0,0,5,6,9
101,344,1200001,2,2,67,0,0,2,8,9
101,344,1200001,2,3,18,1,0,2,5,9
779,126,215510,3,2,83,0,0,5,8,9
792,118,265031,3,4,113,0,0,2,2,9
478,343,1651503,2,0,44,0,0,2,10,9
759,359,1950500,2,0,47,0,0,2,7,9
729,113,1702500,3,4,115,0,0,3,2,9
724,126,1707003,3,3,34,0,1,3,4,9
397,105,1601001,3,3,14,0,0,5,10,9
268,121,1450502,3,4,115,0,0,5,5,9
105,106,1211200,3,0,40,0,0,5,5,9
681,233,2601001,2,0,40,0,1,5,16,9
501,117,2201801,3,3,25,0,0,2,14,9
639,361,2403002,2,2,73,0,1,2,2,9
101,344,1200001,2,2,60,0,0,2,3,9
847,125,5110,3,2,67,0,0,2,15,9
779,126,215510,3,2,70,0,0,5,6,9
101,344,1200001,2,1,122,0,0,2,12,9
339,341,1552500,2,4,109,0,0,3,8,9
511,235,2200300,2,4,103,0,0,2,15,9
101,344,1200001,2,3,1,0,0,2,19,9
511,235,2200300,2,4,103,0,0,3,19,9
478,343,1651503,2,0,42,1,0,5,18,9
269,121,145004,2,4,114,2,0,2,13,9
339,341,1552500,2,3,6,0,0,2,6,9
101,344,1200001,2,2,75,2,0,2,16,9
681,233,2601001,2,0,42,0,1,3,8,9
203,352,140100,2,3,14,17,0,2,12,9
782,236,2650101,2,0,40,0,0,2,8,9
441,110,1553008,3,2,70,0,0,5,1,9
792,118,265031,3,0,41,0,1,3,13,9
101,344,1200001,2,0,48,0,1,5,15,9
905,347,119203,2,3,33,0,0,2,10,9
397,105,1600500,3,3,5,0,0,2,13,9
511,235,2200300,2,2,68,0,0,5,1,9
109,106,1200600,3,3,7,0,0,2,5,9
